"4176","Piacenza","4506052","970554",55
"4177","Parma","4478333","1031667",50
"4178","Reggio Emilia","4465546","1059917",94
"4179","Modena","4468389","1097000",28
"4181","Bologna","4450122","1132820",80
"4189","San Giovanni Persiceto","4463290","1119489",38
"4190","San Pietro Capofiume","4465000","1161667",10
"4182","Ferrara","4483333","1161667",8
"4185","Ravenna","4446535","1220555",2
"4184","Faenza","4428688","1189148",37
"4186","Forlì","4422698","1202757",30
"4187","Cesena","4413971","1223505",31
"4188","Rimini","4403333","1261667",7